Id,Id2,Geography,MedPropValue,LaborForceParticipationRate16+,White,Black,Native,Asian,Hispanic/Latino,HouseholdMedInc
1400000US36007000100,36007000100,"Census Tract 1, Broome County, New York",90200,58.8,1711,573,0,537,50,30513
1400000US36007000200,36007000200,"Census Tract 2, Broome County, New York",62400,46.6,2286,414,20,161,0,22226
1400000US36007000300,36007000300,"Census Tract 3, Broome County, New York",65400,58.8,1832,328,0,146,89,30625
1400000US36007000400,36007000400,"Census Tract 4, Broome County, New York",72600,60.5,1638,349,1,63,10,31122
1400000US36007000500,36007000500,"Census Tract 5, Broome County, New York",60700,49,1447,179,0,88,37,22266
1400000US36007000600,36007000600,"Census Tract 6, Broome County, New York",66300,60.8,1680,421,42,0,73,32685
1400000US36007000700,36007000700,"Census Tract 7, Broome County, New York",78700,51.3,2915,375,11,143,56,41415
1400000US36007000900,36007000900,"Census Tract 9, Broome County, New York",83500,52.6,1295,254,0,23,53,26686
1400000US36007001100,36007001100,"Census Tract 11, Broome County, New York",88300,38.4,899,650,0,0,115,13500
1400000US36007001200,36007001200,"Census Tract 12, Broome County, New York",71400,47.8,680,99,4,0,31,15815
1400000US36007001300,36007001300,"Census Tract 13, Broome County, New York",74600,37.9,2141,734,11,69,154,17615
1400000US36007001400,36007001400,"Census Tract 14, Broome County, New York",88600,54,4079,523,18,348,73,27075
1400000US36007001500,36007001500,"Census Tract 15, Broome County, New York",132700,61.7,4214,460,61,224,32,61227
1400000US36007001600,36007001600,"Census Tract 16, Broome County, New York",142000,60.1,1953,84,11,110,36,56985
1400000US36007001700,36007001700,"Census Tract 17, Broome County, New York",89200,63.2,3507,317,0,8,39,28939
1400000US36007001800,36007001800,"Census Tract 18, Broome County, New York",81800,52.2,2993,700,1,212,124,29957
1400000US36007010200,36007010200,"Census Tract 102, Broome County, New York",117300,62.9,5179,0,11,57,0,57430
1400000US36007011901,36007011901,"Census Tract 119.01, Broome County, New York",106800,63,2830,11,0,2,14,63581
1400000US36007011902,36007011902,"Census Tract 119.02, Broome County, New York",102000,65.7,2643,0,0,3,11,52868
1400000US36007011903,36007011903,"Census Tract 119.03, Broome County, New York",89300,60.6,2649,0,0,0,5,50833
1400000US36007012000,36007012000,"Census Tract 120, Broome County, New York",109600,61.6,1417,22,4,0,0,59063
1400000US36007012101,36007012101,"Census Tract 121.01, Broome County, New York",121500,64.1,3563,30,0,88,26,61277
1400000US36007012102,36007012102,"Census Tract 121.02, Broome County, New York",138400,69.9,3967,30,0,20,9,73399
1400000US36007012103,36007012103,"Census Tract 121.03, Broome County, New York",131800,68.9,3173,56,24,1,56,61607
1400000US36007012201,36007012201,"Census Tract 122.01, Broome County, New York",105700,60.4,2427,18,0,0,0,44821
1400000US36007012202,36007012202,"Census Tract 122.02, Broome County, New York",101900,65.2,3839,0,98,22,0,46212
1400000US36007012300,36007012300,"Census Tract 123, Broome County, New York",94300,56.4,5102,63,0,0,18,42958
1400000US36007012400,36007012400,"Census Tract 124, Broome County, New York",114500,54.1,2450,10,0,18,16,44516
1400000US36007012500,36007012500,"Census Tract 125, Broome County, New York",105800,63.9,6044,70,18,23,20,60181
1400000US36007012600,36007012600,"Census Tract 126, Broome County, New York",99700,60.3,5607,12,16,31,88,51250
1400000US36007012701,36007012701,"Census Tract 127.01, Broome County, New York",111500,66.9,5274,44,7,0,16,52824
1400000US36007012702,36007012702,"Census Tract 127.02, Broome County, New York",139400,67.3,4588,59,0,92,12,69100
1400000US36007012800,36007012800,"Census Tract 128, Broome County, New York",111100,54.1,4813,270,0,12,4,48105
1400000US36007012900,36007012900,"Census Tract 129, Broome County, New York",125800,36.3,1626,0,0,10,0,44196
1400000US36007013000,36007013000,"Census Tract 130, Broome County, New York",145800,63.4,3826,18,0,196,61,66354
1400000US36007013100,36007013100,"Census Tract 131, Broome County, New York",97400,69.9,2488,58,20,31,47,40000
1400000US36007013201,36007013201,"Census Tract 132.01, Broome County, New York",112700,69,1900,176,0,0,12,58917
1400000US36007013202,36007013202,"Census Tract 132.02, Broome County, New York",143100,56.2,2891,28,0,108,31,55129
1400000US36007013301,36007013301,"Census Tract 133.01, Broome County, New York",92700,68.3,4432,238,0,248,12,52802
1400000US36007013303,36007013303,"Census Tract 133.03, Broome County, New York",122000,62.8,2594,0,0,30,0,70000
1400000US36007013304,36007013304,"Census Tract 133.04, Broome County, New York",170500,62.6,5486,82,0,99,0,80799
1400000US36007013400,36007013400,"Census Tract 134, Broome County, New York",89800,60.4,3741,86,0,158,97,33463
1400000US36007013500,36007013500,"Census Tract 135, Broome County, New York",85800,66.3,1539,254,36,49,40,25486
1400000US36007013600,36007013600,"Census Tract 136, Broome County, New York",85900,61.3,3128,321,12,0,28,31571
1400000US36007013700,36007013700,"Census Tract 137, Broome County, New York",94300,60.5,2977,76,0,108,83,34054
1400000US36007013800,36007013800,"Census Tract 138, Broome County, New York",80100,64.8,2850,139,0,83,60,37361
1400000US36007013900,36007013900,"Census Tract 139, Broome County, New York",72700,65,1723,422,5,182,18,29135
1400000US36007014000,36007014000,"Census Tract 140, Broome County, New York",75900,62.4,2000,235,0,601,78,23578
1400000US36007014100,36007014100,"Census Tract 141, Broome County, New York",89800,59.7,2905,164,0,116,10,50739
1400000US36007014200,36007014200,"Census Tract 142, Broome County, New York",124600,55.1,2232,99,0,302,34,54265
1400000US36007014301,36007014301,"Census Tract 143.01, Broome County, New York",190700,50.5,4087,21,45,898,66,66250
1400000US36007014302,36007014302,"Census Tract 143.02, Broome County, New York",182700,32,5843,513,15,2090,25,40586
1400000US36007014400,36007014400,"Census Tract 144, Broome County, New York",113800,62.6,4341,363,0,112,93,52439
1400000US36007014500,36007014500,"Census Tract 145, Broome County, New York",121700,65.2,3300,316,0,40,12,62601
1400000US36007014600,36007014600,"Census Tract 146, Broome County, New York",154000,65.1,5401,0,5,139,0,67924
